xm_name,xm_manual
Alexander Isak,10
Ekitike,80
Bruno Borges Fernandes,15
Bryan Mbeumo,10
Bukayo Saka,80
Eberechi Eze,55
Enzo Fernández,61
Erling Haaland,80
Gabriel dos Santos Magalhães,1
Georginio Rutter,65
Illia Zabarnyi,1
Jacob Murphy,45
James Maddison,1
James Tarkowski,82
Jean-Philippe Mateta,80
João Pedro Junqueira de Jesus,70
Jordan Pickford,90
Justin Kluivert,60
Leandro Trossard,50
Leon Bailey,1
Liam Delap,1
Marcus Rashford,1
Niclas Füllkrug,10
Ollie Watkins,80
Rayan Aït-Nouri,25
Virgil van Dijk,90
William Saliba,90
Yoane Wissa,1
Harvey Barnes,45

